"id","questionId","optionLetter","optionText","isCorrect"
"10328","1082","D","Waste removal","0"
"10329","1083","A","Eardrum","0"
"10330","1083","B","Cochlea","1"
"10331","1083","C","Semicircular canals","0"
"10332","1083","D","Auditory nerve","0"
"10333","1084","A","Digestion","0"
"10334","1084","B","Hormone regulation","1"
"10335","1084","C","Blood circulation","0"
"10336","1084","D","Breathing","0"
"10337","1085","A","Mitosis","0"
"10338","1085","B","Meiosis","0"
"10339","1085","C","Fertilization","1"
"10340","1085","D","Binary fission","0"
"10341","1086","A","Digestion","0"
"10342","1086","B","Blood filtration","1"
"10343","1086","C","Hormone production","0"
"10344","1086","D","Gas exchange","0"
"10345","1087","A","Stomata","0"
"10346","1087","B","Cuticle","1"
"10347","1087","C","Xylem","0"
"10348","1087","D","Phloem","0"
"10349","1088","A","Protein","0"
"10350","1088","B","Calcium phosphate","1"
"10351","1088","C","Cartilage","0"
"10352","1088","D","Collagen","0"
"10353","1089","A","Insulin","0"
"10354","1089","B","Adrenaline","1"
"10355","1089","C","Growth hormone","0"
"10356","1089","D","Thyroxine","0"
"10357","1090","A","Digestion","0"
"10358","1090","B","Immune function","1"
"10359","1090","C","Hormone production","0"
"10360","1090","D","Blood storage","0"
"10361","1091","A","Aerobic respiration","0"
"10362","1091","B","Anaerobic respiration","1"
"10363","1091","C","Photosynthesis","0"
"10364","1091","D","Transpiration","0"
"10365","1092","A","Gas exchange","0"
"10366","1092","B","Air passage","1"
"10367","1092","C","Sound production","0"
"10368","1092","D","Filtering air","0"
"10369","1093","A","Ureter","0"
"10370","1093","B","Nephron","1"
"10371","1093","C","Bladder","0"
"10372","1093","D","Urethra","0"
"10373","1094","A","Digestion","0"
"10374","1094","B","Stress response","1"
"10375","1094","C","Blood circulation","0"
"10376","1094","D","Temperature regulation","0"
"10377","1095","A","Epithelial","0"
"10378","1095","B","Connective","1"
"10379","1095","C","Muscle","0"
"10380","1095","D","Nervous","0"
"10381","1096","A","Gas exchange","0"
"10382","1096","B","Air distribution","1"
"10383","1096","C","Sound production","0"
"10384","1096","D","Mucus production","0"
"10385","1097","A","Insulin","0"
"10386","1097","B","Parathyroid hormone","1"
"10387","1097","C","Adrenaline","0"
"10388","1097","D","Growth hormone","0"
"10389","1098","A","Digestion","0"
"10390","1098","B","Immunity and fluid balance","1"
"10391","1098","C","Gas exchange","0"
"10392","1098","D","Hormone production","0"
"10393","1099","A","Leaf","0"
"10394","1099","B","Root","0"
"10395","1099","C","Stem","0"
"10396","1099","D","All of the above","1"
"10397","1100","A","Hearing","0"
"10398","1100","B","Balance","1"
"10399","1100","C","Smell","0"
"10400","1100","D","Taste","0"
"10401","1101","A","Vitamin A","0"
"10402","1101","B","Vitamin C","0"
"10403","1101","C","Vitamin D","0"
"10404","1101","D","Vitamin K","1"
"10405","1102","A","Air passage","0"
"10406","1102","B","Gas exchange","1"
"10407","1102","C","Sound production","0"
"10408","1102","D","Air filtration","0"
"10409","1103","A","Uterus","0"
"10410","1103","B","Ovary","1"
"10411","1103","C","Fallopian tube","0"
"10412","1103","D","Cervix","0"
"10413","1104","A","Memory","0"
"10414","1104","B","Balance and coordination","1"
"10415","1104","C","Breathing","0"
"10416","1104","D","Heart rate","0"
"10417","1105","A","Phototropism","0"
"10418","1105","B","Geotropism","1"
"10419","1105","C","Hydrotropism","0"
"10420","1105","D","Thigmotropism","0"
"10421","1106","A","Light focusing","0"
"10422","1106","B","Pupil size control","1"
"10423","1106","C","Light detection","0"
"10424","1106","D","Color vision","0"
"10425","1107","A","Natural active","0"
"10426","1107","B","Artificial active","1"
"10427","1107","C","Natural passive","0"
"10428","1107","D","Artificial passive","0"
"10429","1108","A","Transport","0"
"10430","1108","B","Hormone regulation","1"
"10431","1108","C","Digestion","0"
"10432","1108","D","Excretion","0"
"10433","1109","A","Atrium","0"
"10434","1109","B","Ventricle","0"
"10435","1109","C","Valve","1"
"10436","1109","D","Septum","0"
"10437","1110","A","Memory","0"
"10438","1110","B","Vital functions control","1"
"10439","1110","C","Balance","0"
"10440","1110","D","Voluntary movement","0"
"10441","1111","A","Transpiration stream","1"
"10442","1111","B","Photosynthesis","0"
"10443","1111","C","Cellular respiration","0"
"10444","1111","D","Protein synthesis","0"
"10445","1112","A","Hormone production","0"
"10446","1112","B","Nutrient and gas exchange","0"
"10447","1112","C","Waste removal","0"
"10448","1112","D","All of the above","1"
"10449","1113","A","Nucleus","0"
"10450","1113","B","Nucleoid","1"
"10451","1113","C","Ribosome","0"
"10452","1113","D","Cell wall","0"
"10453","1114","A","Blood sugar regulation","0"
"10454","1114","B","Calcium regulation","1"
"10455","1114","C","Stress response","0"
"10456","1114","D","Growth regulation","0"
"10457","1115","A","Mitosis","0"
"10458","1115","B","Meiosis","1"
"10459","1115","C","Binary fission","0"
"10460","1115","D","Budding","0"
"10461","1116","A","Balance","0"
"10462","1116","B","Sound detection","1"
"10463","1116","C","Sound amplification","0"
"10464","1116","D","Sound transmission","0"
"10465","1117","A","Auxin","0"
"10466","1117","B","Cytokinin","0"
"10467","1117","C","Gibberellin","0"
"10468","1117","D","All of the above","1"
"10469","1118","A","Digestion","0"
"10470","1118","B","Protection","1"
"10471","1118","C","Circulation","0"
"10472","1118","D","Respiration","0"
"10473","1119","A","Cerebrum","0"
"10474","1119","B","Cerebellum","0"
"10475","1119","C","Brain stem","1"
"10476","1119","D","Hypothalamus","0"
"10477","1120","A","Enzyme production","0"
"10478","1120","B","Increased surface area for absorption","1"
"10479","1120","C","Waste storage","0"
"10480","1120","D","Hormone production","0"
"10481","1121","A","Metabolism","0"
"10482","1121","B","Homeostasis","1"
"10483","1121","C","Reproduction","0"
"10484","1121","D","Growth","0"
"10485","1122","A","Hormone production","0"
"10486","1122","B","T-cell maturation","1"
"10487","1122","C","Blood filtration","0"
"10488","1122","D","Digestion","0"
"10489","1123","A","Root","0"
"10490","1123","B","Stem","0"
"10491","1123","C","Leaf","1"
"10492","1123","D","Flower","0"
"10493","1124","A","Growth regulation","0"
"10494","1124","B","Sleep-wake cycle regulation","1"
"10495","1124","C","Blood pressure control","0"
"10496","1124","D","Digestion","0"
"10497","1125","A","Skeletal","0"
"10498","1125","B","Cardiac","0"
"10499","1125","C","Smooth","0"
"10500","1125","D","Both B and C","1"
"10501","1126","A","Hearing","0"
"10502","1126","B","Pressure equalization","1"
"10503","1126","C","Balance","0"
"10504","1126","D","Sound amplification","0"
"10505","1127","A","Estrogen","0"
"10506","1127","B","Progesterone","0"
"10507","1127","C","Prolactin","1"
"10508","1127","D","Oxytocin","0"
"10509","1128","A","Digestion","0"
"10510","1128","B","Species continuation","1"
"10511","1128","C","Circulation","0"
"10512","1128","D","Excretion","0"
"10513","1129","A","Cornea","0"
"10514","1129","B","Lens","0"
"10515","1129","C","Pupil","1"
"10516","1129","D","Retina","0"
"10517","1130","A","Nutrient transport","0"
"10518","1130","B","Joint lubrication","1"
"10519","1130","C","Hormone production","0"
"10520","1130","D","Waste removal","0"
"10521","1131","A","Anabolism","0"
"10522","1131","B","Catabolism","1"
"10523","1131","C","Photosynthesis","0"
"10524","1131","D","Protein synthesis","0"
"10525","1132","A","Enzyme production","0"
"10526","1132","B","Hormone production","1"
"10527","1132","C","Bile production","0"
"10528","1132","D","Acid production","0"
"10529","1133","A","Root","0"
"10530","1133","B","Stem","0"
"10531","1133","C","Leaf","0"
"10532","1133","D","Flower","1"
"10533","1134","A","Egg production","0"
"10534","1134","B","Hormone production","1"
"10535","1134","C","Fertilization","0"
"10536","1134","D","Menstruation","0"
"10537","1135","A","Connective","0"
"10538","1135","B","Epithelial","1"
"10539","1135","C","Muscle","0"
"10540","1135","D","Nervous","0"
"10541","1136","A","Sound detection","0"
"10542","1136","B","Sound amplification","1"
"10543","1136","C","Balance","0"
"10544","1136","D","Pressure regulation","0"
"10545","1137","A","Estrogen","0"
"10546","1137","B","Progesterone","0"
"10547","1137","C","Oxytocin","1"
"10548","1137","D","Prolactin","0"
"10549","1138","A","Support","0"
"10550","1138","B","Movement","1"
"10551","1138","C","Protection","0"
"10552","1138","D","Hormone production","0"
"10553","1139","A","Frontal lobe","0"
"10554","1139","B","Parietal lobe","0"
"10555","1139","C","Temporal lobe","0"
"10556","1139","D","Occipital lobe","1"
"10557","1140","A","Digestion","0"
"10558","1140","B","Organ protection","1"
"10559","1140","C","Hormone production","0"
"10560","1140","D","Blood circulation","0"
"10561","1141","A","Pinocytosis","0"
"10562","1141","B","Phagocytosis","1"
"10563","1141","C","Exocytosis","0"
"10564","1141","D","Osmosis","0"
"10565","1142","A","Egg protection","0"
"10566","1142","B","Sperm binding","0"
"10567","1142","C","Fertilization barrier","0"
"10568","1142","D","All of the above","1"
"10569","1143","A","Leaf","0"
"10570","1143","B","Root","0"
"10571","1143","C","Seed","0"
"10572","1143","D","All of the above","1"
"10573","1144","A","Hormone production","0"
"10574","1144","B","Milk production","1"
"10575","1144","C","Temperature regulation","0"
"10576","1144","D","Waste removal","0"
"10577","1145","A","Hinge joint","0"
"10578","1145","B","Ball and socket joint","0"
"10579","1145","C","Pivot joint","1"
"10580","1145","D","Gliding joint","0"
"10581","1146","A","Sound amplification","0"
"10582","1146","B","Sound transmission","1"
"10583","1146","C","Balance","0"
"10584","1146","D","Pressure regulation","0"
"10585","1147","A","Insulin","0"
"10586","1147","B","ADH","1"
"10587","1147","C","Adrenaline","0"
"10588","1147","D","Growth hormone","0"
"10589","1148","A","Digestion","0"
"10590","1148","B","Defense against pathogens","1"
"10591","1148","C","Circulation","0"
"10592","1148","D","Hormone production","0"
"10593","1149","A","Cerebrum","0"
"10594","1149","B","Cerebellum","0"
"10595","1149","C","Limbic system","1"
"10596","1149","D","Brain stem","0"
"10597","1150","A","Gas exchange","0"
"10598","1150","B","Lung protection","1"
"10599","1150","C","Air filtration","0"
"10600","1150","D","Sound production","0"
"10601","1151","A","Translation","1"
"10602","1151","B","Transcription","0"
"10603","1151","C","Replication","0"
"10604","1151","D","Mutation","0"
"10605","1152","A","Energy production","0"
"10606","1152","B","Enzyme storage","1"
"10607","1152","C","DNA storage","0"
"10608","1152","D","Motility","0"
"10609","1153","A","Root","0"
"10610","1153","B","Stem","0"
"10611","1153","C","Tendril","1"
"10612","1153","D","Leaf","0"
"10613","1154","A","Sweat production","0"
"10614","1154","B","Oil production","1"
"10615","1154","C","Hormone production","0"
"10616","1154","D","Temperature regulation","0"
"10617","1155","A","Hyaline cartilage","1"
"10618","1155","B","Elastic cartilage","0"
"10619","1155","C","Fibrocartilage","0"
"10620","1155","D","All of the above","0"
"10621","1156","A","Balance","0"
"10622","1156","B","Sound transduction","1"
"10623","1156","C","Sound amplification","0"
"10624","1156","D","Pressure regulation","0"
"10625","1157","A","Insulin","0"
"10626","1157","B","Erythropoietin","1"
"10627","1157","C","Adrenaline","0"
"10628","1157","D","Growth hormone","0"
"10629","1158","A","Digestion","0"
"10630","1158","B","Waste removal","1"
"10631","1158","C","Circulation","0"
"10632","1158","D","Hormone production","0"
"10633","1159","A","Frontal lobe","0"
"10634","1159","B","Parietal lobe","0"
"10635","1159","C","Temporal lobe","1"
"10636","1159","D","Occipital lobe","0"
"10637","1160","A","Blood circulation","0"
"10638","1160","B","Heart protection","1"
"10639","1160","C","Hormone production","0"
"10640","1160","D","Gas exchange","0"
"10641","1161","A","Translation","0"
"10642","1161","B","Transcription","0"
"10643","1161","C","Replication","1"
"10644","1161","D","Mutation","0"
"10645","1162","A","Energy production","0"
"10646","1162","B","Motility","1"
"10647","1162","C","DNA storage","0"
"10648","1162","D","Enzyme storage","0"
"10649","1163","A","Root tip","0"
"10650","1163","B","Shoot tip","1"
"10651","1163","C","Leaf","0"
"10652","1163","D","Flower","0"
"10653","1164","A","Oil production","0"
"10654","1164","B","Temperature regulation","1"
"10655","1164","C","Hormone production","0"
"10656","1164","D","Waste storage","0"
"10657","1165","A","Spongy bone","0"
"10658","1165","B","Compact bone","1"
"10659","1165","C","Cartilage","0"
"10660","1165","D","Marrow","0"
"10661","1166","A","Hearing","0"
"10662","1166","B","Balance","1"
"10663","1166","C","Sound amplification","0"
"10664","1166","D","Pressure regulation","0"
"10665","1167","A","Growth hormone","0"
"10666","1167","B","ADH","1"
"10667","1167","C","Prolactin","0"
"10668","1167","D","ACTH","0"
"10669","1168","A","Gas exchange","0"
"10670","1168","B","Nutrient breakdown and absorption","1"
"10671","1168","C","Waste removal","0"
"10672","1168","D","Hormone production","0"
"10673","1169","A","Frontal lobe","1"
"10674","1169","B","Parietal lobe","0"
"10675","1169","C","Temporal lobe","0"
"10676","1169","D","Occipital lobe","0"
"10677","1170","A","Blood circulation","0"
"10678","1170","B","Brain and spinal cord protection","1"
"10679","1170","C","Hormone production","0"
"10680","1170","D","Nerve signal transmission","0"
"10681","1171","A","Translation","1"
"10682","1171","B","Transcription","0"
"10683","1171","C","Replication","0"
"10684","1171","D","Mutation","0"
"10685","1172","A","DNA storage","0"
"10686","1172","B","Energy production","1"
"10687","1172","C","Enzyme storage","0"
"10688","1172","D","Motility","0"
"10689","1173","A","Anther","0"
"10690","1173","B","Stigma","0"
"10691","1173","C","Ovary","1"
"10692","1173","D","Filament","0"
"10693","1174","A","Temperature regulation","0"
"10694","1174","B","Hair production","0"
"10695","1174","C","Sensory function","0"
"10696","1174","D","All of the above","1"
"10697","1175","A","Fast-twitch","0"
"10698","1175","B","Slow-twitch","1"
"10699","1175","C","Intermediate","0"
"10700","1175","D","Cardiac","0"
"10701","1176","A","Sound detection","0"
"10702","1176","B","Sound transmission to brain","1"
"10703","1176","C","Balance","0"
"10704","1176","D","Sound amplification","0"
"10705","1177","A","Insulin","0"
"10706","1177","B","Melatonin","1"
"10707","1177","C","Adrenaline","0"
"10708","1177","D","Growth hormone","0"
"10709","1178","A","Gas exchange","0"
"10710","1178","B","Transport of materials","1"
"10711","1178","C","Digestion","0"
"10712","1178","D","Hormone production","0"
"10713","1179","A","Frontal lobe","0"
"10714","1179","B","Parietal lobe","1"
"10715","1179","C","Temporal lobe","0"
"10716","1179","D","Occipital lobe","0"
"10717","1180","A","Nutrient transport","0"
"10718","1180","B","Brain protection","1"
"10719","1180","C","Hormone regulation","0"
"10720","1180","D","Waste removal","0"
"10721","1181","A","Mitosis","0"
"10722","1181","B","Meiosis","1"
"10723","1181","C","Binary fission","0"
"10724","1181","D","Budding","0"
"10725","1182","A","Egg protection","1"
"10726","1182","B","Sperm guidance","0"
"10727","1182","C","Hormone production","0"
"10728","1182","D","Fertilization","0"
"10729","1183","A","Root","1"
"10730","1183","B","Stem","0"
"10731","1183","C","Leaf","0"
"10732","1183","D","Flower","0"
"10733","1184","A","Protection","0"
"10734","1184","B","Insulation","0"
"10735","1184","C","Energy storage","0"
"10736","1184","D","All of the above","1"
"10737","1185","A","Bone","0"
"10738","1185","B","Cartilage","0"
"10739","1185","C","Adipose tissue","1"
"10740","1185","D","Blood","0"
"10741","1186","A","Light focusing","0"
"10742","1186","B","Visual signal transmission","1"
"10743","1186","C","Pupil control","0"
"10744","1186","D","Eye movement","0"
"10745","1187","A","Estrogen","0"
"10746","1187","B","Progesterone","0"
"10747","1187","C","LH","1"
"10748","1187","D","FSH","0"
"10749","1188","A","Nutrient transport","0"
"10750","1188","B","Gas exchange","1"
"10751","1188","C","Waste removal","0"
"10752","1188","D","Hormone production","0"
"10753","1189","A","Cerebrum","0"
"10754","1189","B","Hippocampus","1"
"10755","1189","C","Cerebellum","0"
"10756","1189","D","Brain stem","0"
"10757","1190","A","Nutrient transport","0"
"10758","1190","B","Brain cushioning","0"
"10759","1190","C","Waste removal","0"
"10760","1190","D","All of the above","1"
"10761","1191","A","Mitosis","0"
"10762","1191","B","Sexual reproduction","1"
"10763","1191","C","Asexual reproduction","0"
"10764","1191","D","Binary fission","0"
"10765","1192","A","Egg nourishment","0"
"10766","1192","B","Sperm binding","0"
"10767","1192","C","Hormone production","0"
