"id","paperId","questionNumber","questionText","questionType","marks","rawLlMExtractedQuestion"
"1014","102","14","Which organ system is responsible for excretion?","MCQ","1","{""question_number"":""14"",""question_text"":""Which organ system is responsible for excretion?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Circulation"",""C. Excretion"",""D. Respiration""]}"
"1015","102","15","Which type of muscle is found in the heart?","MCQ","1","{""question_number"":""15"",""question_text"":""Which type of muscle is found in the heart?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Skeletal"",""B. Smooth"",""C. Cardiac"",""D. Voluntary""]}"
"1016","102","16","What is the main component of plant cell walls?","MCQ","1","{""question_number"":""16"",""question_text"":""What is the main component of plant cell walls?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Protein"",""B. Cellulose"",""C. Lipid"",""D. Starch""]}"
"1017","102","17","Which process converts glucose into energy?","MCQ","1","{""question_number"":""17"",""question_text"":""Which process converts glucose into energy?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Photosynthesis"",""B. Cellular respiration"",""C. Fermentation"",""D. Glycolysis""]}"
"1018","102","18","What is the main function of red blood cells?","MCQ","1","{""question_number"":""18"",""question_text"":""What is the main function of red blood cells?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Immune defense"",""B. Blood clotting"",""C. Oxygen transport"",""D. Nutrient storage""]}"
"1019","102","19","Which structure controls what enters and leaves the nucleus?","MCQ","1","{""question_number"":""19"",""question_text"":""Which structure controls what enters and leaves the nucleus?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Nuclear membrane"",""B. Nucleolus"",""C. Chromatin"",""D. Nuclear pore""]}"
"1020","102","20","What is the main function of the liver?","MCQ","1","{""question_number"":""20"",""question_text"":""What is the main function of the liver?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen transport"",""B. Detoxification"",""C. Hormone production"",""D. Blood circulation""]}"
"1021","103","21","Explain the process of photosynthesis and its importance to life on Earth.","FRQ","3","{""question_number"":""21"",""question_text"":""Explain the process of photosynthesis and its importance to life on Earth."",""question_type"":""FRQ"",""marks"":3,""mcq_options"":null}"
"1022","103","22","Describe the structure and function of the human heart.","FRQ","4","{""question_number"":""22"",""question_text"":""Describe the structure and function of the human heart."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1023","103","23","Compare and contrast mitosis and meiosis.","FRQ","5","{""question_number"":""23"",""question_text"":""Compare and contrast mitosis and meiosis."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1024","103","24","Explain how enzymes work and factors that affect enzyme activity.","FRQ","4","{""question_number"":""24"",""question_text"":""Explain how enzymes work and factors that affect enzyme activity."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1025","103","25","Describe the process of protein synthesis from DNA to protein.","FRQ","6","{""question_number"":""25"",""question_text"":""Describe the process of protein synthesis from DNA to protein."",""question_type"":""FRQ"",""marks"":6,""mcq_options"":null}"
"1026","103","26","Explain the role of hormones in maintaining homeostasis.","FRQ","4","{""question_number"":""26"",""question_text"":""Explain the role of hormones in maintaining homeostasis."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1027","103","27","Describe the process of evolution by natural selection.","FRQ","5","{""question_number"":""27"",""question_text"":""Describe the process of evolution by natural selection."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1028","103","28","Explain the importance of biodiversity and threats to it.","FRQ","4","{""question_number"":""28"",""question_text"":""Explain the importance of biodiversity and threats to it."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1029","103","29","Describe the carbon cycle and its importance to ecosystems.","FRQ","5","{""question_number"":""29"",""question_text"":""Describe the carbon cycle and its importance to ecosystems."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1030","103","30","Explain how the nervous system coordinates responses to stimuli.","FRQ","4","{""question_number"":""30"",""question_text"":""Explain how the nervous system coordinates responses to stimuli."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1031","104","31","Describe the process of cellular respiration and its stages.","FRQ","5","{""question_number"":""31"",""question_text"":""Describe the process of cellular respiration and its stages."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1032","104","32","Explain the structure and function of DNA.","FRQ","4","{""question_number"":""32"",""question_text"":""Explain the structure and function of DNA."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1033","104","33","Describe how plants adapt to different environments.","FRQ","4","{""question_number"":""33"",""question_text"":""Describe how plants adapt to different environments."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1034","104","34","Explain the process of digestion in humans.","FRQ","5","{""question_number"":""34"",""question_text"":""Explain the process of digestion in humans."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1035","104","35","Describe the immune system and how it protects the body.","FRQ","4","{""question_number"":""35"",""question_text"":""Describe the immune system and how it protects the body."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1036","104","36","Explain the process of transpiration in plants.","FRQ","3","{""question_number"":""36"",""question_text"":""Explain the process of transpiration in plants."",""question_type"":""FRQ"",""marks"":3,""mcq_options"":null}"
"1037","104","37","Describe the structure and function of the kidney.","FRQ","4","{""question_number"":""37"",""question_text"":""Describe the structure and function of the kidney."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1038","104","38","Explain how genetic variation arises and its importance.","FRQ","5","{""question_number"":""38"",""question_text"":""Explain how genetic variation arises and its importance."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1039","104","39","Describe the nitrogen cycle and its ecological importance.","FRQ","4","{""question_number"":""39"",""question_text"":""Describe the nitrogen cycle and its ecological importance."",""question_type"":""FRQ"",""marks"":4,""mcq_options"":null}"
"1040","104","40","Explain the process of reproduction in flowering plants.","FRQ","5","{""question_number"":""40"",""question_text"":""Explain the process of reproduction in flowering plants."",""question_type"":""FRQ"",""marks"":5,""mcq_options"":null}"
"1041","105","41","Which vitamin is synthesized in the skin when exposed to sunlight?","MCQ","1","{""question_number"":""41"",""question_text"":""Which vitamin is synthesized in the skin when exposed to sunlight?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Vitamin A"",""B. Vitamin C"",""C. Vitamin D"",""D. Vitamin K""]}"
"1042","105","42","What is the main function of platelets?","MCQ","1","{""question_number"":""42"",""question_text"":""What is the main function of platelets?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Oxygen transport"",""B. Immune defense"",""C. Blood clotting"",""D. Nutrient transport""]}"
"1043","105","43","Which organelle is known as the powerhouse of the cell?","MCQ","1","{""question_number"":""43"",""question_text"":""Which organelle is known as the powerhouse of the cell?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Nucleus"",""B. Mitochondria"",""C. Ribosome"",""D. Endoplasmic reticulum""]}"
"1044","105","44","What type of cell engulfment is used by white blood cells to destroy pathogens?","MCQ","1","{""question_number"":""44"",""question_text"":""What type of cell engulfment is used by white blood cells to destroy pathogens?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Pinocytosis"",""B. Phagocytosis"",""C. Exocytosis"",""D. Endocytosis""]}"
"1045","105","45","Which part of a flower produces pollen?","MCQ","1","{""question_number"":""45"",""question_text"":""Which part of a flower produces pollen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Pistil"",""B. Stamen"",""C. Sepal"",""D. Petal""]}"
"1046","105","46","What is the primary function of the small intestine?","MCQ","1","{""question_number"":""46"",""question_text"":""What is the primary function of the small intestine?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Water absorption"",""B. Nutrient absorption"",""C. Waste storage"",""D. Enzyme production""]}"
"1047","105","47","Which type of reproduction produces genetically identical offspring?","MCQ","1","{""question_number"":""47"",""question_text"":""Which type of reproduction produces genetically identical offspring?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Sexual"",""B. Asexual"",""C. Binary"",""D. Conjugation""]}"
"1048","105","48","What is the primary function of stomata?","MCQ","1","{""question_number"":""48"",""question_text"":""What is the primary function of stomata?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Photosynthesis"",""B. Gas exchange"",""C. Water storage"",""D. Nutrient transport""]}"
"1049","105","49","Which plant hormone promotes cell elongation and growth?","MCQ","1","{""question_number"":""49"",""question_text"":""Which plant hormone promotes cell elongation and growth?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Gibberellin"",""B. Cytokinin"",""C. Auxin"",""D. Abscisic acid""]}"
"1050","105","50","What is the basic unit of the nervous system?","MCQ","1","{""question_number"":""50"",""question_text"":""What is the basic unit of the nervous system?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Neuron"",""B. Synapse"",""C. Dendrite"",""D. Axon""]}"
"1051","106","51","Which process requires light energy to occur?","MCQ","1","{""question_number"":""51"",""question_text"":""Which process requires light energy to occur?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Respiration"",""B. Photosynthesis"",""C. Transpiration"",""D. Digestion""]}"
"1052","106","52","What is the main function of carbohydrates in the body?","MCQ","1","{""question_number"":""52"",""question_text"":""What is the main function of carbohydrates in the body?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Energy production"",""B. Structural support"",""C. Protein synthesis"",""D. Waste removal""]}"
"1053","106","53","Which type of blood cell is involved in immune responses?","MCQ","1","{""question_number"":""53"",""question_text"":""Which type of blood cell is involved in immune responses?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Red blood cells"",""B. White blood cells"",""C. Platelets"",""D. Plasma""]}"
"1054","106","54","What is the primary function of the alveoli in the lungs?","MCQ","1","{""question_number"":""54"",""question_text"":""What is the primary function of the alveoli in the lungs?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Nutrient transport"",""B. Gas exchange"",""C. Waste removal"",""D. Temperature regulation""]}"
"1055","106","55","Which structure in the eye focuses light onto the retina?","MCQ","1","{""question_number"":""55"",""question_text"":""Which structure in the eye focuses light onto the retina?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Cornea"",""B. Lens"",""C. Retina"",""D. Pupil""]}"
"1056","106","56","What is the role of enzymes in chemical reactions?","MCQ","1","{""question_number"":""56"",""question_text"":""What is the role of enzymes in chemical reactions?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Energy source"",""B. Catalyst"",""C. Product"",""D. Inhibitor""]}"
"1057","106","57","Which process involves the movement of water molecules through a partially permeable membrane?","MCQ","1","{""question_number"":""57"",""question_text"":""Which process involves the movement of water molecules through a partially permeable membrane?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Active transport"",""B. Osmosis"",""C. Diffusion"",""D. Facilitated diffusion""]}"
"1058","106","58","What is the function of the Golgi apparatus?","MCQ","1","{""question_number"":""58"",""question_text"":""What is the function of the Golgi apparatus?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Protein modification"",""B. Energy production"",""C. DNA replication"",""D. Waste removal""]}"
"1059","106","59","Which hormone regulates metabolic rate?","MCQ","1","{""question_number"":""59"",""question_text"":""Which hormone regulates metabolic rate?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Insulin"",""B. Adrenaline"",""C. Thyroxine"",""D. Growth hormone""]}"
"1060","106","60","What is the primary function of root hairs?","MCQ","1","{""question_number"":""60"",""question_text"":""What is the primary function of root hairs?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Photosynthesis"",""B. Water and mineral absorption"",""C. Structural support"",""D. Reproduction""]}"
"1061","107","61","Which organelle contains digestive enzymes?","MCQ","1","{""question_number"":""61"",""question_text"":""Which organelle contains digestive enzymes?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ribosome"",""B. Lysosome"",""C. Mitochondria"",""D. Nucleus""]}"
"1062","107","62","What is the main function of the diaphragm?","MCQ","1","{""question_number"":""62"",""question_text"":""What is the main function of the diaphragm?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Blood circulation"",""B. Breathing"",""C. Digestion"",""D. Hormone production""]}"
"1063","107","63","Which structure protects the seed embryo?","MCQ","1","{""question_number"":""63"",""question_text"":""Which structure protects the seed embryo?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Fruit"",""B. Seed coat"",""C. Petal"",""D. Leaf""]}"
"1064","107","64","Which part of the brain is responsible for thinking and memory?","MCQ","1","{""question_number"":""64"",""question_text"":""Which part of the brain is responsible for thinking and memory?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Balance"",""B. Breathing"",""C. Thinking and memory"",""D. Heart rate""]}"
"1065","107","65","Which process requires energy from ATP?","MCQ","1","{""question_number"":""65"",""question_text"":""Which process requires energy from ATP?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Diffusion"",""B. Osmosis"",""C. Active transport"",""D. Facilitated diffusion""]}"
"1066","107","66","What is the function of the lens in the eye?","MCQ","1","{""question_number"":""66"",""question_text"":""What is the function of the lens in the eye?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Color detection"",""B. Light focusing"",""C. Light detection"",""D. Pupil control""]}"
"1067","107","67","Which type of muscle is found in the walls of blood vessels?","MCQ","1","{""question_number"":""67"",""question_text"":""Which type of muscle is found in the walls of blood vessels?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Skeletal"",""B. Smooth"",""C. Striated"",""D. Voluntary""]}"
"1068","107","68","What is the main function of the kidneys?","MCQ","1","{""question_number"":""68"",""question_text"":""What is the main function of the kidneys?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Circulation"",""C. Waste removal"",""D. Hormone production""]}"
"1069","107","69","Which part of a flower receives pollen?","MCQ","1","{""question_number"":""69"",""question_text"":""Which part of a flower receives pollen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Anther"",""B. Stigma"",""C. Ovary"",""D. Filament""]}"
"1070","107","70","What is the function of the pancreas in the digestive system?","MCQ","1","{""question_number"":""70"",""question_text"":""What is the function of the pancreas in the digestive system?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Blood pressure regulation"",""B. Blood sugar regulation"",""C. Heart rate control"",""D. Breathing control""]}"
"1071","108","71","Which process produces oxygen as a byproduct?","MCQ","1","{""question_number"":""71"",""question_text"":""Which process produces oxygen as a byproduct?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Cellular respiration"",""B. Photosynthesis"",""C. Fermentation"",""D. Glycolysis""]}"
"1072","108","72","What is the function of the epiglottis?","MCQ","1","{""question_number"":""72"",""question_text"":""What is the function of the epiglottis?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Sound production"",""B. Preventing food from entering airways"",""C. Gas exchange"",""D. Filtering air""]}"
"1073","108","73","Which structure connects bones to bones?","MCQ","1","{""question_number"":""73"",""question_text"":""Which structure connects bones to bones?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Tendon"",""B. Ligament"",""C. Cartilage"",""D. Muscle""]}"
"1074","108","74","What is the main function of the nervous system?","MCQ","1","{""question_number"":""74"",""question_text"":""What is the main function of the nervous system?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Transport"",""B. Communication and control"",""C. Digestion"",""D. Excretion""]}"
"1075","108","75","Which organelle is responsible for cellular respiration?","MCQ","1","{""question_number"":""75"",""question_text"":""Which organelle is responsible for cellular respiration?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Chloroplast"",""B. Mitochondria"",""C. Nucleus"",""D. Ribosome""]}"
"1076","108","76","What is the function of the retina in the eye?","MCQ","1","{""question_number"":""76"",""question_text"":""What is the function of the retina in the eye?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Light focusing"",""B. Light detection"",""C. Pupil control"",""D. Eye movement""]}"
"1077","108","77","Which plant hormone is responsible for phototropism?","MCQ","1","{""question_number"":""77"",""question_text"":""Which plant hormone is responsible for phototropism?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Auxin"",""B. Cytokinin"",""C. Gibberellin"",""D. Abscisic acid""]}"
"1078","108","78","What is the function of the hypothalamus?","MCQ","1","{""question_number"":""78"",""question_text"":""What is the function of the hypothalamus?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Memory storage"",""B. Temperature regulation"",""C. Balance control"",""D. Muscle coordination""]}"
"1079","108","79","Which process involves the movement of molecules from high to low concentration?","MCQ","1","{""question_number"":""79"",""question_text"":""Which process involves the movement of molecules from high to low concentration?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Active transport"",""B. Diffusion"",""C. Osmosis"",""D. Endocytosis""]}"
"1080","108","80","What is the function of the gallbladder?","MCQ","1","{""question_number"":""80"",""question_text"":""What is the function of the gallbladder?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Bile production"",""B. Bile storage"",""C. Enzyme production"",""D. Acid production""]}"
"1081","109","81","Which blood vessel carries blood to the heart?","MCQ","1","{""question_number"":""81"",""question_text"":""Which blood vessel carries blood to the heart?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Vein"",""B. Artery"",""C. Capillary"",""D. Venule""]}"
"1082","109","82","What is the main function of the skeleton?","MCQ","1","{""question_number"":""82"",""question_text"":""What is the main function of the skeleton?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Gas exchange"",""B. Support and protection"",""C. Hormone production"",""D. Waste removal""]}"
"1083","109","83","Which structure in the ear detects sound vibrations?","MCQ","1","{""question_number"":""83"",""question_text"":""Which structure in the ear detects sound vibrations?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Eardrum"",""B. Cochlea"",""C. Semicircular canals"",""D. Auditory nerve""]}"
"1084","109","84","What is the function of the pituitary gland?","MCQ","1","{""question_number"":""84"",""question_text"":""What is the function of the pituitary gland?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Hormone regulation"",""C. Blood circulation"",""D. Breathing""]}"
"1085","109","85","Which process results in the formation of a zygote?","MCQ","1","{""question_number"":""85"",""question_text"":""Which process results in the formation of a zygote?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Mitosis"",""B. Meiosis"",""C. Fertilization"",""D. Binary fission""]}"
"1086","109","86","What is the main function of the nephron?","MCQ","1","{""question_number"":""86"",""question_text"":""What is the main function of the nephron?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Blood filtration"",""C. Hormone production"",""D. Gas exchange""]}"
"1087","109","87","Which structure reduces water loss in plants?","MCQ","1","{""question_number"":""87"",""question_text"":""Which structure reduces water loss in plants?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Stomata"",""B. Cuticle"",""C. Xylem"",""D. Phloem""]}"
"1088","109","88","What is the main component of bone?","MCQ","1","{""question_number"":""88"",""question_text"":""What is the main component of bone?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Protein"",""B. Calcium phosphate"",""C. Cartilage"",""D. Collagen""]}"
"1089","109","89","Which hormone is released during the 'fight or flight' response?","MCQ","1","{""question_number"":""89"",""question_text"":""Which hormone is released during the 'fight or flight' response?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Insulin"",""B. Adrenaline"",""C. Growth hormone"",""D. Thyroxine""]}"
"1090","109","90","What is the function of the spleen?","MCQ","1","{""question_number"":""90"",""question_text"":""What is the function of the spleen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Immune function"",""C. Hormone production"",""D. Blood storage""]}"
"1091","110","91","Which process occurs in the absence of oxygen?","MCQ","1","{""question_number"":""91"",""question_text"":""Which process occurs in the absence of oxygen?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Aerobic respiration"",""B. Anaerobic respiration"",""C. Photosynthesis"",""D. Transpiration""]}"
"1092","110","92","What is the function of the trachea?","MCQ","1","{""question_number"":""92"",""question_text"":""What is the function of the trachea?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Gas exchange"",""B. Air passage"",""C. Sound production"",""D. Filtering air""]}"
"1093","110","93","Which structure filters blood in the kidney?","MCQ","1","{""question_number"":""93"",""question_text"":""Which structure filters blood in the kidney?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Ureter"",""B. Nephron"",""C. Bladder"",""D. Urethra""]}"
"1094","110","94","What is the function of the adrenal gland?","MCQ","1","{""question_number"":""94"",""question_text"":""What is the function of the adrenal gland?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Stress response"",""C. Blood circulation"",""D. Temperature regulation""]}"
"1095","110","95","Which type of tissue connects and supports other tissues?","MCQ","1","{""question_number"":""95"",""question_text"":""Which type of tissue connects and supports other tissues?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Epithelial"",""B. Connective"",""C. Muscle"",""D. Nervous""]}"
"1096","110","96","What is the function of the bronchi?","MCQ","1","{""question_number"":""96"",""question_text"":""What is the function of the bronchi?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Gas exchange"",""B. Air distribution"",""C. Sound production"",""D. Mucus production""]}"
"1097","110","97","Which hormone regulates calcium levels in the blood?","MCQ","1","{""question_number"":""97"",""question_text"":""Which hormone regulates calcium levels in the blood?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Insulin"",""B. Parathyroid hormone"",""C. Adrenaline"",""D. Growth hormone""]}"
"1098","110","98","What is the function of the lymphatic system?","MCQ","1","{""question_number"":""98"",""question_text"":""What is the function of the lymphatic system?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Digestion"",""B. Immunity and fluid balance"",""C. Gas exchange"",""D. Hormone production""]}"
"1099","110","99","In which plant structures does photosynthesis occur?","MCQ","1","{""question_number"":""99"",""question_text"":""In which plant structures does photosynthesis occur?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Leaf"",""B. Root"",""C. Stem"",""D. All of the above""]}"
"1100","110","100","What is the function of the semicircular canals in the ear?","MCQ","1","{""question_number"":""100"",""question_text"":""What is the function of the semicircular canals in the ear?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Hearing"",""B. Balance"",""C. Smell"",""D. Taste""]}"
"1101","111","101","Which vitamin is essential for blood clotting?","MCQ","1","{""question_number"":""101"",""question_text"":""Which vitamin is essential for blood clotting?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Vitamin A"",""B. Vitamin C"",""C. Vitamin D"",""D. Vitamin K""]}"
"1102","111","102","What is the primary function of the alveoli?","MCQ","1","{""question_number"":""102"",""question_text"":""What is the primary function of the alveoli?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Air passage"",""B. Gas exchange"",""C. Sound production"",""D. Air filtration""]}"
"1103","111","103","Which structure produces eggs in females?","MCQ","1","{""question_number"":""103"",""question_text"":""Which structure produces eggs in females?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Uterus"",""B. Ovary"",""C. Fallopian tube"",""D. Cervix""]}"
"1104","111","104","What is the function of the cerebellum?","MCQ","1","{""question_number"":""104"",""question_text"":""What is the function of the cerebellum?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Memory"",""B. Balance and coordination"",""C. Breathing"",""D. Heart rate""]}"
"1105","111","105","Which plant response is growth towards gravity?","MCQ","1","{""question_number"":""105"",""question_text"":""Which plant response is growth towards gravity?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Phototropism"",""B. Geotropism"",""C. Hydrotropism"",""D. Thigmotropism""]}"
"1106","111","106","What is the function of the iris in the eye?","MCQ","1","{""question_number"":""106"",""question_text"":""What is the function of the iris in the eye?"",""question_type"":""MCQ"",""marks"":1,""mcq_options"":[""A. Light focusing"",""B. Pupil size control"",""C. Light detection"",""D. Color vision""]}"
